Identidades;identidad;nentidad;entidad;tipo1;tipo2;tipo3;tipo4;tipo5;tipoentidad;Idproyecto;año;fondo;instrumento;provincia;titulo;areatematicanormalizada;montorealxproyecto;montorealxpentidad;pentidad
1;0001-1;2;Agro Green Argentina S.R.L;Privado;Empresa privada;SRL;Agro Green Argentina S.R.L;Agro Green Argentina S.R.L;beneficiario;920;2010;COFECyT;ESPRO ;ENTRE RÍOS;Matadero Transportable para Faena de Pequeños Animales;Desarrollo productivo regional; $ 644,976 ; $ 214,992 ;3
1;0001-2;2;PRO.CE.VI. Coop. Limitada;Comunidad;Cooperativa;Cooperativa de servicios;PRO.CE.VI. Coop. Limitada;PRO.CE.VI. Coop. Limitada;beneficiario;920;2010;COFECyT;ESPRO ;ENTRE RÍOS;Matadero Transportable para Faena de Pequeños Animales;Desarrollo productivo regional; $ 644,976 ; $ 214,992 ;3
2;0002-1;2;Asociación Civil Consorcio de Usuarios de Agua e Infraestructura para el Desarrollo Productivo de Alberdi;Comunidad;Asociación Civil;Asociación agraria;Asociación Civil Consorcio de Usuarios de Agua e Infraestructura para el Desarrollo Productivo de Alberdi;Asociación Civil Consorcio de Usuarios de Agua e Infraestructura para el Desarrollo Productivo de Alberdi;beneficiario;823;2010;COFECyT;ESPRO ;SANTIAGO DEL ESTERO;Laboratorio de programación y reprogramación embrionaria y fetal;Desarrollo productivo regional; $ 716,799 ; $ 238,933 ;3
2;0002-2;2;Frigorífico Forres – Beltrán S.A;Privado;Empresa privada;SA;Frigorífico Forres – Beltrán S.A;Frigorífico Forres – Beltrán S.A;beneficiario;823;2010;COFECyT;ESPRO ;SANTIAGO DEL ESTERO;Laboratorio de programación y reprogramación embrionaria y fetal;Desarrollo productivo regional; $ 716,799 ; $ 238,933 ;3
3;0003-1;2;Asociación De Padres De La Escuela De La Familia Agrícola Espíritu Santo;Comunidad;Asociación;Cooperadora escolar;Asociación De Padres De La Escuela De La Familia Agrícola Espíritu Santo;Asociación De Padres De La Escuela De La Familia Agrícola Espíritu Santo;beneficiario;850;2010;COFECyT;ESPRO ;MISIONES;Modelización del proceso de secado de hierbas naturales y obtención de las bases de diseño de un secadero controlado a escala piloto e industrial;Desarrollo productivo regional; $ 372,736 ; $ 124,245 ;3
3;0003-2;2;Asociación Civil Solidaria Santa Madre Paulina;Comunidad;Asociación Civil;Organización social;Asociación Civil Solidaria Santa Madre Paulina;Asociación Civil Solidaria Santa Madre Paulina;beneficiario;850;2010;COFECyT;ESPRO ;MISIONES;Modelización del proceso de secado de hierbas naturales y obtención de las bases de diseño de un secadero controlado a escala piloto e industrial;Desarrollo productivo regional; $ 372,736 ; $ 124,245 ;3
4;0004-1;4;Asociación de Productores de Arándanos de la Mesopotamia Argentina APAMA;Comunidad;?;Cooperación empresaria o de productores;Asociación de Productores de Arándanos de la Mesopotamia Argentina APAMA;Asociación de Productores de Arándanos de la Mesopotamia Argentina APAMA;beneficiario;770;2010;COFECyT;ESPRO ;ENTRE RÍOS;Tecnologías de precisión para la mejora de la producción y el aseguramiento de la calidad de la miel y de arándanos en la provincia de Entre Ríos;Desarrollo productivo regional; $ 645,120 ; $ 129,024 ;5
4;0004-2;4;Cooperativa Apícola de Paraná;Comunidad;Cooperativa;Cooperativa de trabajo;Cooperativa Apícola de Paraná;Cooperativa Apícola de Paraná;beneficiario;770;2010;COFECyT;ESPRO ;ENTRE RÍOS;Tecnologías de precisión para la mejora de la producción y el aseguramiento de la calidad de la miel y de arándanos en la provincia de Entre Ríos;Desarrollo productivo regional; $ 645,120 ; $ 129,024 ;5
4;0004-3;4;Cooperativa Apícola de Villa Elisa;Comunidad;Cooperativa;Cooperativa de trabajo;Cooperativa Apícola de Villa Elisa;Cooperativa Apícola de Villa Elisa;beneficiario;770;2010;COFECyT;ESPRO ;ENTRE RÍOS;Tecnologías de precisión para la mejora de la producción y el aseguramiento de la calidad de la miel y de arándanos en la provincia de Entre Ríos;Desarrollo productivo regional; $ 645,120 ; $ 129,024 ;5
4;0004-4;4;Cooperativa Apícola de Gualeguaychú;Comunidad;Cooperativa;Cooperativa de trabajo;Cooperativa Apícola de Gualeguaychú;Cooperativa Apícola de Gualeguaychú;beneficiario;770;2010;COFECyT;ESPRO ;ENTRE RÍOS;Tecnologías de precisión para la mejora de la producción y el aseguramiento de la calidad de la miel y de arándanos en la provincia de Entre Ríos;Desarrollo productivo regional; $ 645,120 ; $ 129,024 ;5
