Identidades;identidad;nentidad;entidad;tipo1;tipo2;tipo3;tipo4;tipo5
0001;0001-1;2;Agro Green Argentina S.R.L;Privado;Empresa privada;SRL;Agro Green Argentina S.R.L;Agro Green Argentina S.R.L
0001;0001-2;2;PRO.CE.VI. Coop. Limitada;Comunidad;Cooperativa;Cooperativa de servicios;PRO.CE.VI. Coop. Limitada;PRO.CE.VI. Coop. Limitada
0002;0002-1;2;Asociación Civil Consorcio de Usuarios de Agua e Infraestructura para el Desarrollo Productivo de Alberdi;Comunidad;Asociación Civil;Asociación agraria;Asociación Civil Consorcio de Usuarios de Agua e Infraestructura para el Desarrollo Productivo de Alberdi;Asociación Civil Consorcio de Usuarios de Agua e Infraestructura para el Desarrollo Productivo de Alberdi
0002;0002-2;2;Frigorífico Forres – Beltrán S.A;Privado;Empresa privada;SA;Frigorífico Forres – Beltrán S.A;Frigorífico Forres – Beltrán S.A
0003;0003-2;2;Asociación Civil Solidaria Santa Madre Paulina;Comunidad;Asociación Civil;Organización social;Asociación Civil Solidaria Santa Madre Paulina;Asociación Civil Solidaria Santa Madre Paulina
0003;0003-1;2;Asociación De Padres De La Escuela De La Familia Agrícola Espíritu Santo;Comunidad;Asociación;Cooperadora escolar;Asociación De Padres De La Escuela De La Familia Agrícola Espíritu Santo;Asociación De Padres De La Escuela De La Familia Agrícola Espíritu Santo
0004;0004-1;4;Asociación de Productores de Arándanos de la Mesopotamia Argentina APAMA;Comunidad;?;Cooperación empresaria o de productores;Asociación de Productores de Arándanos de la Mesopotamia Argentina APAMA;Asociación de Productores de Arándanos de la Mesopotamia Argentina APAMA
0004;0004-4;4;Cooperativa Apícola de Gualeguaychú;Comunidad;Cooperativa;Cooperativa de trabajo;Cooperativa Apícola de Gualeguaychú;Cooperativa Apícola de Gualeguaychú
0004;0004-2;4;Cooperativa Apícola de Paraná;Comunidad;Cooperativa;Cooperativa de trabajo;Cooperativa Apícola de Paraná;Cooperativa Apícola de Paraná
0004;0004-3;4;Cooperativa Apícola de Villa Elisa;Comunidad;Cooperativa;Cooperativa de trabajo;Cooperativa Apícola de Villa Elisa;Cooperativa Apícola de Villa Elisa
0005;0005-1;2;BRUNO DE ALTO;Privado;Persona física;Persona física;BRUNO DE ALTO;BRUNO DE ALTO
0005;0005-2;2;FEDERICO MOREJON;Privado;Persona física;Persona física;FEDERICO MOREJON;FEDERICO MOREJON
0006;0006-1;3;Centro De Desarrollo e Innovación Tecnológica (CEDITEC);Estado;Provincial;Gobierno provincial;Provincia de Misiones;CEDIT (Agencia Misionera de Innovación)
0006;0006-2;3;Subsecretaría de Turismo de la Provincia de Corrientes;Estado;Provincial;Gobierno provincial;Provincia de Corrientes;Corrientes (Turismo)
0006;0006-3;3;Fundación Nuestro Ambiente (FUNA);Comunidad;Fundación;Organización ambiental;Fundación Nuestro Ambiente (FUNA);Fundación Nuestro Ambiente (FUNA)
0007;0007-1;3;Comisión Nacional de Energía Atómica (CNEA);Estado;Nacional;Organismo CyT público;CNEA;CNEA
0007;0007-2;3;INVAP SE;Estado;Empresa estatal;SE;INVAP;INVAP
0007;0007-3;3;Nucleoeléctrica Argentina SA;Estado;Empresa estatal;SA;Nucleoeléctrica Argentina SA;Nucleoeléctrica Argentina SA
0008;0008-1;3;Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);Estado;Nacional;Organismo CyT público;CONICET;CONICET
0008;0008-3;3;Santa Fe Gas y Energías Renovables SAPEM (ENERFE);Estado;Empresa estatal;SAPEM;Santa Fe Gas y Energías Renovables SAPEM (ENERFE);Santa Fe Gas y Energías Renovables SAPEM (ENERFE)
0008;0008-2;3;Varteco Química Puntana SA;Privado;Empresa privada;SA;Varteco Química Puntana SA;Varteco Química Puntana SA
0009;0009-1;2;Consejo Nacional de Investigaciones Científicas y Tecnológicas;Estado;Nacional;Organismo CyT público;CONICET;CONICET
0009;0009-2;2;YPF SA;Estado;Empresa estatal;SAPEM;YPF;YPF
0010;0010-1;2;Cooperativa Agrícola Los Colonos Ltda.;Comunidad;Cooperativa;Cooperativa agraria;Cooperativa Agrícola Los Colonos Ltda.;Cooperativa Agrícola Los Colonos Ltda.
0010;0010-2;2;Te Kairiyama y Cia SRL;Privado;Empresa privada;SRL;Te Kairiyama y Cia SRL;Te Kairiyama y Cia SRL
0011;0011-1;2;Cooperativa Agropecuaria y de Electricidad Monte Caseros Ltda.;Comunidad;Cooperativa;Cooperativa de trabajo;Cooperativa Agropecuaria y de Electricidad Monte Caseros Ltda.;Cooperativa Agropecuaria y de Electricidad Monte Caseros Ltda.
0011;0011-2;2;Ministerio de Producción, Trabajo y Turismo de la Provincia de Corrientes;Estado;Provincial;Gobierno provincial;Provincia de Corrientes;Corrientes (Producción, Trabajo y Turismo)
0012;0012-2;2;Cabaña Apícola UDEP de la Fundación Facultad de Ciencias Veterinarias UNLPam;Comunidad;Fundación;Asociación de apoyo a institución pública;Cabaña Apícola UDEP de la Fundación Facultad de Ciencias Veterinarias UNLPam;Cabaña Apícola UDEP de la Fundación Facultad de Ciencias Veterinarias UNLPam
0012;0012-1;2;Cooperativa Apícola Patagónica;Comunidad;Cooperativa;Cooperativa agraria;Cooperativa Apícola Patagónica;Cooperativa Apícola Patagónica
0013;0013-2;2;Cooperativa Apícola Granjera de Comercialización, Industrialización, Provisión y Consumo Patagonia Andina Ltda. (San Martin de los Andes);Comunidad;Cooperativa;Cooperativa agraria;Cooperativa Apícola Granjera de Comercialización, Industrialización, Provisión y Consumo Patagonia Andina Ltda. (San Martin de los Andes);Cooperativa Apícola Granjera de Comercialización, Industrialización, Provisión y Consumo Patagonia Andina Ltda. (San Martin de los Andes)
0013;0013-1;2;Cooperativa de Industrialización y Comercialización Apícola Colmenas Australes Ltda. (Picún Leufu);Comunidad;Cooperativa;Cooperativa agraria;Cooperativa de Industrialización y Comercialización Apícola Colmenas Australes Ltda. (Picún Leufu);Cooperativa de Industrialización y Comercialización Apícola Colmenas Australes Ltda. (Picún Leufu)
