Idproyecto;año;fondo;instrumento;provincia;prov1;prov2;prov3;prov4;prov5;prov6;localidad;titulo;destinatario;otraentidad;areatematicanormalizada;montonominal;montorealBase2008;;
1168;2004;COFECyT;PFIP ;BUENOS AIRES;BUENOS AIRES;;;;;;;Desarrollo de un irradiador láser y sus accesorios para el tratamiento de lasa lesiones por el papillomavirus humano;Innovatec ;Provincia de Buenos Aires;Desarrollo productivo local;$ 105,000; $ 186,522 ;;
1169;2004;COFECyT;PFIP ;BUENOS AIRES;BUENOS AIRES;;;;;;;Tratamiento natural de varroasis por temperatura sin residuos contaminantes y kit productivo;Silvina Ovelar ;Provincia de Buenos Aires;Desarrollo productivo local;$ 63,000; $ 111,913 ;;
1170;2004;COFECyT;PFIP ;BUENOS AIRES;BUENOS AIRES;;;;;;;Tipificación de arcillas industriales y aplicación de nuevas técnicas de exploración;Subsecretaría de Industria, Comercio y Mineria del Ministerio de la Producción de la Provincia de Buenos Aires;Provincia de Buenos Aires;Desarrollo productivo local;$ 98,250; $ 174,532 ;;
1171;2004;COFECyT;PFIP ;BUENOS AIRES;BUENOS AIRES;;;;;;;Desarrollo de nuevos algoritmos para el diagnostico de arritmias malignas en hospitales públicos;Universidad Nacional de La Plata ;Provincia de Buenos Aires;Desarrollo productivo local;$ 60,000; $ 106,584 ;;
1172;2004;COFECyT;PFIP ;CABA;CABA;;;;;;;Incorporación de tecnologías de gestión por parte de MIyPyMEs radicadas en la Ciudad Autónoma de Buenos Aires (PROISO 9000);Subsecretaría de producción del gobierno de la Ciudad Autonoma de Buenos Aires ;CABA;Desarrollo productivo local;$ 300,000; $ 532,921 ;;
1173;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Informatización de centros de atención primaria para optimizar el impacto de las acciones en el área de salud;Ministerio de Salud de la Provincia de Catamarca;Provincia de Catamarca;Desarrollo productivo local;$ 23,387; $ 41,545 ;;
1174;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Prevalencia de anemia y factores sociales en niños de 6 a 24 meses;Ministerio de Salud de la Provincia de Catamarca;Provincia de Catamarca;Desarrollo productivo local;$ 19,414; $ 34,487 ;;
1175;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Sistema de información para la evaluación del área olivonogalera. Primera etapa: Clima, suelo y agua, valle central;Universidad Nacional de Catamarca - Instituto Nacional de Tecnologia Agropecuaria (INTA);Provincia de Catamarca;Desarrollo productivo local;$ 31,550; $ 56,046 ;;
1176;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Parque arqueológico “La Tunita”. Puesta en valor integral del arte de la vertiente oriental de la sierra de Ancasti;Ministerio de Educación, Cultura, Ciencia y Tecnología de la Provincia de Catamarca ;Provincia de Catamarca;Desarrollo productivo local;$ 30,000; $ 53,292 ;;
1177;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Generación y desarrollo de procesos textiles con fibra de camélidos andinos;Ministerio de Educación, Cultura, Ciencia y Tecnología de la Provincia de Catamarca ;Provincia de Catamarca;Desarrollo productivo local;$ 19,350; $ 34,373 ;;
1178;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;El museo integral de la reserva biosfera de Laguna Blanca, soporte del desarrollo textil de la fibra de camélido en la Puna Catamarqueña;Universidad Nacional de Catamarca ;Provincia de Catamarca;Desarrollo productivo local;$ 30,000; $ 53,292 ;;
1179;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Evaluación del uso de un estimulante de desarrollo rumial en cabritos lactantes para disminuir la competencia por leche disponible para venta;Universidad Nacional de Catamarca ;Provincia de Catamarca;Desarrollo productivo local;$ 12,491; $ 22,189 ;;
1180;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Desarrollo y transferencia de un generador solar térmico multiuso para sustitución de leña en zonas andinas y subandinas;Ministerio de Educación, Cultura, Ciencia y Tecnología de la Provincia de Catamarca ;Provincia de Catamarca;Desarrollo productivo local;$ 30,000; $ 53,292 ;;
1181;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Construcción social comunitaria del museo integral de Antofalla;Ministerio de Educación, Cultura, Ciencia y Tecnología de la Provincia de Catamarca ;Provincia de Catamarca;Desarrollo productivo local;$ 30,000; $ 53,292 ;;
1182;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Mejorando la calidad nutricional de los escolares a través de la innovación productiva agropecuaria y del trabajo cooperativo, Tinogasta;Ministerio de Educación, Cultura, Ciencia y Tecnología de la Provincia de Catamarca ;Provincia de Catamarca;Desarrollo productivo local;$ 29,814; $ 52,962 ;;
1183;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Prevención de la contaminación ambiental mediante la optimización de instalaciones de evacuación e incorporación de 1 planta de tratamiento de efluentes en el frigorífico municipal;Municipalidad de San Fernando del Valle de Catamarca;Provincia de Catamarca;Desarrollo productivo local;$ 30,000; $ 53,292 ;;
1184;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Sistema de información para la evaluación productiva del área nogalera. Primera etapa: Identificación, monitoreo y dinámica poblacional de las pcipales plagas agrícolas en Pomán;Universidad Nacional de Catamarca - Instituto Nacional de Tecnologia Agropecuaria (INTA);Provincia de Catamarca;Desarrollo productivo local;$ 33,819; $ 60,076 ;;
1185;2004;COFECyT;PFIP ;CATAMARCA;CATAMARCA;;;;;;;Tratamiento de residuos y efluentes generados en la prod. de aceite de oliva y su incorporación en actividades productivas;Complejo Productivo Mediterráneo SA ;Provincia de Catamarca;Desarrollo productivo local;$ 30,000; $ 53,292 ;;
1186;2004;COFECyT;PFIP ;CHACO;CHACO;;;;;;;Adaptación de tecnologías para la preparación de vegetales frescos cortados ;Universidad Nacional del Nordeste ;Provincia de Chaco;Desarrollo productivo local;$ 80,440; $ 142,894 ;;
1187;2004;COFECyT;PFIP ;CHACO;CHACO;;;;;;;Planta piloto de producción porcina ;Edin Rolando Dellamea ;Provincia de Chaco;Desarrollo productivo local;$ 70,050; $ 124,437 ;;
1188;2004;COFECyT;PFIP ;CHACO;CHACO;;;;;;;Informatización de la historia clínica única en pacientes del Hospital J. C. Perrando de la Ciudad de Resistencia;Ministerio de Salud Publica de la Provincia de CHACO;Provincia de Chaco;Desarrollo productivo local;$ 78,000; $ 138,559 ;;
1189;2004;COFECyT;PFIP ;CHACO;CHACO;;;;;;;Desarrollo de un centro para el mejoramiento de la calidad de las mieles en la Pcia. del CHACO;UTN - Facultad Regional Reconquista ;Provincia de Chaco;Desarrollo productivo local;$ 62,900; $ 111,736 ;;
1190;2004;COFECyT;PFIP ;CHUBUT;CHUBUT;;;;;;;Transferencia a escala piloto industrial de la utilización de ensilado de pescado en elaboración de alimento balanceado para animales;Interpesca SA ;Provincia de Chubut;Desarrollo productivo local;$ 239,227; $ 424,964 ;;
1191;2004;COFECyT;PFIP ;CHUBUT;CHUBUT;;;;;;;Modelos de desarrollo forestal para la diversificación de los sistemas agrarios del noroeste de Chubut;Centro de Investigación y Desarrollo Forestal Andino Patagonico (CIEFAP) ;Provincia de Chubut;Desarrollo productivo local;$ 110,773; $ 196,778 ;;
1192;2004;COFECyT;PFIP ;CÓRDOBA;CÓRDOBA;;;;;;;Flora medicinal de Córdoba: bases para la domesticación de especies nativas ;Agencia Córdoba Ciencia S.E. ;Provincia de Córdoba;Desarrollo productivo local;$ 137,750; $ 244,700 ;;
