ID_Instrumento;INST_Informe;Fondo;TIT_Informe;INST_1;INST_2;Orientado;
1;ANR + AR;FONTAR;Aportes no reembolsables + Aportes reembolsables;ANR + AR;;SI;
2;ANR TEC;FONTAR;ANR Plataformas tecnológicas Bio Nano TIC;ANR;ANR Bio Nano Tic;SI;
3;ANR ASIS-TECg;FONTAR;ANR Asistencias Tecnológicas Grupales;ANR;ANR ASIS-TEC;NO;
4;ANR ASIS-TECi;FONTAR;ANR Asistencias Tecnológicas Individuales;ANR;ANR ASIS-TEC;NO;
5;ANR ASOC;FONTAR;ANR Asociativos;ANR;ANR Asociativos;SI;
6;ANR Bio Nano TIC ;FONTAR;ANR Bio Nano TIC ;ANR;ANR Bio Nano Tic;SI;
7;ANR Capacidades;FONTAR;ANR Capacidades;ANR;ANR Laboratorios;NO;
8;ANR Capacitación;FONSOFT;ANR para Formación de RRHH;ANR;ANR RRHH;SI;
9;ANR Fonsoft CI;FONSOFT;ANR Cooperación con Israel;ANR;ANR INT;SI;
10;ANR EJ;FONSOFT;ANR Empresa Joven;ANR;ANR Empresa Joven;SI;
11;FINSET;FONTAR;Fortalecimiento de capacidades para Servicios Tecnológicos (ANR?);ANR;ANR FINSET;NO;
12;ANR Iberokea;FONTAR;ANR Iberoeka para Cooperación Internacional;ANR;ANR INT;NO;
13;ANR INT;FONTAR;ANR Internacional;ANR;ANR INT;NO;
14;ANR Int Fonsoft;FONSOFT;ANR Internacional Fonsoft;ANR;ANR INT;SI;
15;ANR Patentes;FONTAR;ANR Patentes;ANR;ANR Patentes;NO;
16;ANR P+L;FONTAR;ANR Producción Limpia;ANR;ANR Producción Limpia;SI;
17;ANR PDT;FONTAR;ANR Proyectos de Desarrollo Tecnológico;ANR;ANR;NO;
18;ANR I+D;FONTAR;ANR Proyectos de I+D en Empresas;ANR;ANR Laboratorios;NO;
19;ANR RRHH AC;FONTAR;ANR Recursos Humanos Altamente Capacitados;ANR;ANR RRHH;NO;
20;ANR Social;FONTAR;ANR Social;ANR;ANR Social;SI;
21;ANR Fonsoft TVD;FONSOFT;ANR Fonsoft Televisión Digital;ANR;ANR TVD;SI;
22;ANR;FONTAR;Aporte no reembolsable;ANR;ANR;NO;
23;ANR Fonsoft;FONSOFT;Aporte no reembolsable FONSOFT;ANR;ANR Fonsoft;SI;
24;AR;FONTAR;Aportes reembolsables;Crédito;AR;NO;
25;ARAI;FONTAR;Aportes reembolsables a Instituciones;Crédito;AR;NO;
26;ARSET;FONTAR;Aportes reembolsables para Prestación y Consolidación de Servicios Tecnológicos;Crédito;AR;NO;
27;AADTI;FONTAR;Argentina Armónica con Desarrollo Tecnológico e Innovación;AADTI;;SI;
28;Becas JPT;FONSOFT;Becas Jóvenes Profesionales TIC;Becas;Becas TIC;SI;
29;Becas TICs;FONARSEC;Becas de grado TICs;Becas;Becas TIC;SI;
30;Becas TICs FONCyT;FONCYT;Becas TICs;Becas;Becas TIC;SI;
31;CEN-TEC;FONTAR;Centros de Desarrollo Tecnológico;CEN-TEC;CEN-TEC;SI;
32;CC;FONCYT;Certificados de calificación (beneficios fiscales);CC;;NO;
33;CPI;FONARSEC;Compras Públicas Innovadoras;CPI;CPI;SI;
34;CT;FONTAR;Consejerías Tecnológicas;CT;CT;NO;
35;CE;FONSOFT;Crédito exporta;Crédito;Crédito Exporta;SI;
36;CF;FONTAR;Crédito Fiscal;Crédito;CF;NO;
37;CAE;FONTAR;Créditos a Empresas para Proyectos de Modernización;Crédito;Crédito Modernización;NO;
38;CRE+CO;FONTAR;Créditos para Mejora de Competitividad;Crédito;Crédito Competitividad;NO;
39;Art.2 - Ley 23.877;FONTAR;Créditos para Modernización (Art 2 Reglamento Ley 23.877);Crédito;Crédito Modernización;NO;
40;D-TEC;Presidencia;Doctores en Universidades para Transferencia Tecnológica;Becas;;SI;
41;Emprendedores Fonsoft;FONSOFT;Emprendedores Fonsoft;EBT;EBT Fonsoft;SI;
42;EBT COVID-19;FONARSEC;Empresas de Base Tecnológica COVID-19;EBT;EBT Fonarsec (COVID-19);SI;
43;EBT 2.0;FONARSEC;Empresas de Base Tecnológica 2.0 ;EBT;EBT Fonarsec (2.0);SI;
44;EMPRETECNO PAEBT ;FONARSEC;Programa de impulso a las Empresas de Base Tecnológica;EBT;EBT Fonarsec (1.0);SI;
45;VACUNAS AR Ensayos in vivo;FONARSEC;Ensayos in vivo de vacunas;Vacunas AR;Vacunas AR;SI;
46;Fondo de Co-Inversión ACIE;FONTAR;Fondo de Co-Inversión ACIE (Córdoba) y la Agencia I+D+i;Fondo de Co-Inversión;Fondo de Co-Inversión;SI;
47;Fondo de Co-Inversión con provincias;FONTAR;Fondo de Co-Inversión con provincias;Fondo de Co-Inversión;Fondo de Co-Inversión;SI;
48;FITR;FONARSEC;Fondo de Innovación Tecnológica Regional;FS;FITR;SI;
49;FITS y FTS;FONARSEC;Fondo de Innovación Tecnológica Sectorial y Fondo Sectorial;FS;FITS y FTS;SI;
50;FONREBIO;FONTAR;Fondo de Regulación de Productos Biotecnológicos;Fondo de Regulación;;SI;
51;FS BIO-Agrobiotecnología;FONARSEC;Fondos Sectoriales Biotecnología (Agrobiotecnología);FS;FTS;SI;
52;FS BIO-Vacunas;FONARSEC;Fondos Sectoriales Biotecnología (Vacunas);FS;FTS;SI;
53;FS NANO;FONARSEC;Fondos Sectoriales Nanotecnología;FS;FTS;SI;
54;FS TICs;FONARSEC;Fondos Sectoriales TICs;FS;FTS;SI;
55;FS-Plataformas;FONARSEC;Fondos Sectoriales (Plataformas);FS;FTS;SI;
56;FS-Productos y Servicios;FONARSEC;Fondos Sectoriales (Productos y Servicios);FS;FTS;SI;
57;FIT-AP;FONTAR;Fortalecimiento de Innovación Tecnológica Aglomerados Productivos;FIT;FIT-AP;NO;
58;FIT COVID;FONTAR;Fortalecimiento de Innovación Tecnológica COVID;FIT;FIT COVID;SI;
59;FIT-PDP;FONTAR;Fortalecimiento de Innovación Tecnológica Desarrollo de Proveedores;FIT;FIT-PDP;NO;
60;IP-COVID 19;FONARSEC;Ideas-Proyecto COVID-19;IP;IP COVID-19;SI;
61;IP-COVID 19;FONCYT;Ideas-Proyecto COVID-19;IP;IP COVID-19;SI;
62;IP-COVID 19;FONTAR;Ideas-Proyecto COVID-19;IP;IP COVID-19;SI;
63;IP-COVID 19 FByB;FONCYT;IP-COVID 19 Fundación Bunge y Born;IP;IP COVID-19;SI;
64;KITS COVID-19;FONARSEC;KITS COVID-19 basados en antígenos;KITS COVID-19;KITS COVID-19 (Antígenos);SI;
65;KITS COVID-19 EyE;FONARSEC;KITS COVID-19 Escalamiento y exportación;KITS COVID-19;KITS COVID-19 (Escalamiento y exportación);SI;
66;Observatorio Fonsoft;FONSOFT;Observatorio Fonsoft;Observatorio Fonsoft;Observatorio Fonsoft;SI;
67;PE - PPM;FONARSEC;PE en Producción Pública de Medicamentos;PE;PE Producción de Medicamentos;SI;
68;PE - TE;FONARSEC;PE en Transición Energética;PE;PE Transición Energética;SI;
69;PICT Aplicados Cat I y II;FONCYT;PICT Aplicados Cat I y II;PICT;PICT Apl (I y II);NO;
70;PICT Aplicados Cat III;FONARSEC;PICT Aplicados Cat III;PICT;Pict Aplicados;SI;
71;PICT CI;FONCYT;PICT Cooperación Internacional;PICT;PICT CI;NO;
72;PICT Aplicados;FONCYT;PICT de Aplicación Intensiva (BCIE?);PICT;PICT Apl Int;NO;
73;PICT-O;FONCYT;PICT Orientados;PICT;PICTO;SI;
74;PICTO-COVID;FONCYT;PICT Orientado COVID;PICT;PICTO;SI;
75;PICT Start Up;FONCYT;PICT Start Up;PICT;PICT Start Up;NO;
76;PICT Valorización;FONCYT;PICT Valorización;PICT;PICT Valorización;SI;
77;G-Tec;FONARSEC;Programa de Formación de Gerentes y Vinculadores Tecnológicos;Becas;Becas Gtec;SI;
78;Mov Fed;FONCYT;Programa de Movilidad Federal;Mov Fed;Mov Fed;SI;
79;PRH;FONCYT;Programa de Recursos Humanos;PRH;PRH;NO;
80;PRH - PIDRI;FONCYT;Programa de Recursos Humanos - Radicación de Investigadores en Áreas Tecnológicas Prioritarias;PRH;PRH - PIDRI;NO;
81;PISAC COVID-19;FONCYT;Proyectos asociativos de investigaciónen Ciencias Sociales y Humanas  COVID-19;PICT;PICTO;SI;
82;PCE;FONCYT;Proyectos Concertados con Empresas;PCE;PCE;NO;
83;PRAMIN;FONCYT;Proyectos de Adecuación y/o Mejora de Infraestructura;PRAMIN;PRAMIN;NO;
84;PICT-E;FONCYT;PICT Equipamiento (Unidades Ejecutoras de PICT);PICT;PICT-E;NO;
85;PRIETEC;FONARSEC;Proyectos de Readecuación de Infraestructura y Equipamiento Tecnológico;PRIETEC;PRIETEC;SI;
86;PICT;FONCYT;Proyectos de Investigación Científica y Tecnológica;PICT;PICT;NO;
87;PID;FONCYT;Proyectos de Investigación y Desarrollo;PID;PID;SI;
88;PID CLINICOS;FONCYT;Proyectos de Investigación y Desarrollos Clínicos;PID;PID Clínicos;SI;
89;PME;FONCYT;Proyectos de Modernización de Equipamiento;PME;PME;NO;
90;PPL;FONCYT;Proyectos de Plataformas Tecnológicas;PPL;PPL;NO;
91;PAE;FONCYT;Programa de Áreas Estratégicas;PAE;PAE;SI;
92;PE;FONARSEC;Proyectos Estratégicos ;PE;PE Varios;SI;
93;PI-TEC;FONTAR;Proyectos Integrados de Aglomerados Productivos;PITEC;PITEC;SI;
94;RC;FONCYT;Reuniones Científicas;RC;RC;NO;
95;RC TIC;FONSOFT;Reuniones Científicas TIC;RC;RC Fonsoft;SI;
96;SNBDB;FONCYT;Sistema Nacional de Datos Biológicos;Sistema Nacional;SN Datos Biológicos;SI;
97;SNM;FONCYT;Sistema Nacional de Microscopía;Sistema Nacional;SN Microscopía;SI;
98;SNRM;FONCYT;Sistema Nacional de Resonancia Magnética;Sistema Nacional;SN Resonancia Magnética;SI;
99;TIPAR;FONTAR;Tecnotecas para la Innovación Popular;TIPAR;TIPAR;SI;
100;ANR TEC II;FONTAR;ANR Tec;ANR;ANR TEC;NO;
101;PASN;FONARSEC;Promoción de la Alimentación Saludable y Nutritiva;PASN;PASN;SI;
102;TT;FONARSEC;Talleres Tecnológicos;TT;TT;SI;
103;ANR ASIS-Form;FONTAR;ANR Asistencias Formuladores (Provincias);ANR;ANR Formuladores;SI;
104;ANR Coop;FONTAR;ANR Cooperativas;ANR;ANR Coop;SI;
105;Tecnotecas II;FONTAR;Tecnotecas Línea 2: Ejecución;TIPAR;TIPAR;SI;
