N Registro;IDInst;Instrumento_INF;Título_INF;Fondo;Año;Proyectos adjudicados;Monto adjudicado nominal;Monto real adjudicado;;
1;22;ANR;Aporte no reembolsable;FONTAR;2008; 328 ; $ 67,456,055 ; $ 67,456,055 ;;
2;22;ANR;Aporte no reembolsable;FONTAR;2009; 105 ; $ 21,520,896 ; $ 18,652,569 ;;
3;22;ANR;Aporte no reembolsable;FONTAR;2010; 308 ; $ 72,083,998 ; $ 51,669,773 ;;
4;22;ANR;Aporte no reembolsable;FONTAR;2011; 425 ; $ 124,371,884 ; $ 72,067,260 ;;
5;22;ANR;Aporte no reembolsable;FONTAR;2012; 375 ; $ 140,946,317 ; $ 66,771,362 ;;
6;22;ANR;Aporte no reembolsable;FONTAR;2013; 357 ; $ 156,331,488 ; $ 59,750,376 ;;
7;22;ANR;Aporte no reembolsable;FONTAR;2014; 314 ; $ 185,551,058 ; $ 50,553,666 ;;
8;22;ANR;Aporte no reembolsable;FONTAR;2015; 352 ; $ 345,870,075 ; $ 74,445,277 ;;
9;22;ANR;Aporte no reembolsable;FONTAR;2016; 456 ; $ 625,537,806 ; $ 95,409,378 ;;
10;1;ANR + AR;Aportes no reembolsables + Aportes reembolsables;FONTAR;2021; 9 ; $ 100,283,459 ; $ 2,652,835 ;;
11;4;ANR ASIS-TECi;ANR Asistencias Tecnológicas Individuales;FONTAR;2021; 2 ; $ 1,380,001 ; $ 36,506 ;;
12;5;ANR ASOC;ANR Asociativos;FONTAR;2021; 22 ; $ 490,714,148 ; $ 12,981,040 ;;
13;6;ANR Bio Nano TIC ;ANR Bio Nano TIC ;FONTAR;2014; 3 ; $ 1,536,050 ; $ 418,499 ;;
14;8;ANR Capacitación;ANR para Formación de RRHH;FONSOFT;2009; 3 ; $ 76,870 ; $ 66,625 ;;
15;8;ANR Capacitación;ANR para Formación de RRHH;FONSOFT;2010; 1 ; $ 17,680 ; $ 12,673 ;;
16;8;ANR Capacitación;ANR para Formación de RRHH;FONSOFT;2011; 3 ; $ 122,000 ; $ 70,693 ;;
17;8;ANR Capacitación;ANR para Formación de RRHH;FONSOFT;2012; 2 ; $ 100,000 ; $ 47,374 ;;
18;8;ANR Capacitación;ANR para Formación de RRHH;FONSOFT;2015; 3 ; $ 438,471 ; $ 94,377 ;;
19;8;ANR Capacitación;ANR para Formación de RRHH;FONSOFT;2017; 3 ; $ 1,143,654 ; $ 138,433 ;;
20;10;ANR EJ;ANR Empresa Joven;FONSOFT;2016; 12 ; $ 7,437,139 ; $ 1,134,340 ;;
21;10;ANR EJ;ANR Empresa Joven;FONSOFT;2017; 26 ; $ 12,953,847 ; $ 1,567,992 ;;
22;10;ANR EJ;ANR Empresa Joven;FONSOFT;2018; 29 ; $ 28,708,124 ; $ 2,446,575 ;;
23;10;ANR EJ;ANR Empresa Joven;FONSOFT;2019; 6 ; $ 4,896,090 ; $ 279,671 ;;
24;23;ANR Fonsoft;Aporte no reembolsable FONSOFT;FONSOFT;2008; 99 ; $ 8,529,197 ; $ 8,529,197 ;;
25;23;ANR Fonsoft;Aporte no reembolsable FONSOFT;FONSOFT;2009; 214 ; $ 25,443,865 ; $ 22,052,681 ;;
26;23;ANR Fonsoft;Aporte no reembolsable FONSOFT;FONSOFT;2010; 218 ; $ 28,636,490 ; $ 20,526,621 ;;
27;23;ANR Fonsoft;Aporte no reembolsable FONSOFT;FONSOFT;2011; 208 ; $ 33,499,027 ; $ 19,411,004 ;;
28;23;ANR Fonsoft;Aporte no reembolsable FONSOFT;FONSOFT;2012; 160 ; $ 32,458,345 ; $ 15,376,690 ;;
29;23;ANR Fonsoft;Aporte no reembolsable FONSOFT;FONSOFT;2013; 191 ; $ 46,533,620 ; $ 17,785,293 ;;
30;23;ANR Fonsoft;Aporte no reembolsable FONSOFT;FONSOFT;2014; 179 ; $ 54,132,922 ; $ 14,748,596 ;;
31;23;ANR Fonsoft;Aporte no reembolsable FONSOFT;FONSOFT;2015; 125 ; $ 50,107,357 ; $ 10,785,137 ;;
32;23;ANR Fonsoft;Aporte no reembolsable FONSOFT;FONSOFT;2016; 95 ; $ 67,261,837 ; $ 10,259,028 ;;
33;23;ANR Fonsoft;Aporte no reembolsable FONSOFT;FONSOFT;2017; 73 ; $ 75,498,270 ; $ 9,138,648 ;;
34;23;ANR Fonsoft;Aporte no reembolsable FONSOFT;FONSOFT;2018; 72 ; $ 106,065,523 ; $ 9,039,156 ;;
35;23;ANR Fonsoft;Aporte no reembolsable FONSOFT;FONSOFT;2019; 32 ; $ 55,483,767 ; $ 3,169,302 ;;
36;9;ANR Fonsoft CI;ANR Cooperación con Israel;FONSOFT;2010; 1 ; $ 164,025 ; $ 117,573 ;;
37;10;ANR EJ;ANR Empresa Joven;FONSOFT;2014; 10 ; $ 2,878,020 ; $ 784,121 ;;
38;10;ANR EJ;ANR Empresa Joven;FONSOFT;2015; 23 ; $ 7,763,996 ; $ 1,671,127 ;;
39;21;ANR Fonsoft TVD;ANR Fonsoft Televisión Digital;FONSOFT;2010; 7 ; $ 1,695,425 ; $ 1,215,280 ;;
40;18;ANR I+D;ANR Proyectos de I+D en Empresas;FONTAR;2008; 17 ; $ 6,157,638 ; $ 6,157,638 ;;
41;18;ANR I+D;ANR Proyectos de I+D en Empresas;FONTAR;2010; 11 ; $ 3,637,268 ; $ 2,607,192 ;;
42;18;ANR I+D;ANR Proyectos de I+D en Empresas;FONTAR;2017; 4 ; $ 17,911,252 ; $ 2,168,058 ;;
43;18;ANR I+D;ANR Proyectos de I+D en Empresas;FONTAR;2018; 1 ; $ 4,494,085 ; $ 382,997 ;;
44;12;ANR Iberokea;ANR Iberoeka para Cooperación Internacional;FONTAR;2008; 3 ; $ 944,428 ; $ 944,428 ;;
45;12;ANR Iberokea;ANR Iberoeka para Cooperación Internacional;FONTAR;2009; 6 ; $ 2,709,922 ; $ 2,348,741 ;;
46;12;ANR Iberokea;ANR Iberoeka para Cooperación Internacional;FONTAR;2010; 3 ; $ 926,817 ; $ 664,342 ;;
47;13;ANR INT;ANR Internacional;FONTAR;2017; 3 ; $ 6,393,566 ; $ 773,906 ;;
48;13;ANR INT;ANR Internacional;FONTAR;2018; 6 ; $ 20,169,124 ; $ 1,718,861 ;;
49;13;ANR INT;ANR Internacional;FONTAR;2019; 8 ; $ 30,068,158 ; $ 1,717,531 ;;
50;13;ANR INT;ANR Internacional;FONTAR;2020; 3 ; $ 13,545,374 ; $ 552,360 ;;
51;13;ANR INT;ANR Internacional;FONTAR;2021; 2 ; $ 9,592,225 ; $ 253,747 ;;
52;14;ANR Int Fonsoft;ANR Internacional Fonsoft;FONSOFT;2014; 1 ; $ 1,405,800 ; $ 383,012 ;;
53;14;ANR Int Fonsoft;ANR Internacional Fonsoft;FONSOFT;2015; 10 ; $ 13,818,273 ; $ 2,974,253 ;;
54;14;ANR Int Fonsoft;ANR Internacional Fonsoft;FONSOFT;2018; 4 ; $ 7,123,221 ; $ 607,058 ;;
55;16;ANR P+L;ANR Producción Limpia;FONTAR;2008; 40 ; $ 7,983,234 ; $ 7,983,234 ;;
56;16;ANR P+L;ANR Producción Limpia;FONTAR;2009; 9 ; $ 2,120,875 ; $ 1,838,203 ;;
57;16;ANR P+L;ANR Producción Limpia;FONTAR;2017; 7 ; $ 19,029,765 ; $ 2,303,448 ;;
